threshold,recall,specificity,precision,f1,accuracy,tn,fp,fn,tp,profit,meets_recall,meets_specificity,meets_both,model,config,min_tpr_tnr
0.2799999999999999,0.7433450527373179,0.6562990440861749,0.3805605554127025,0.5034013605442178,0.6755555555555556,4600,2409,511,1480,-3191800,False,False,False,XGB,SPW=2.0,0.6562990440861749
0.2899999999999999,0.7297840281265696,0.6741332572406905,0.3888145571313888,0.5073324022346368,0.6864444444444444,4725,2284,538,1453,-3438800,False,False,False,XGB,SPW=2.0,0.6741332572406905
0.29999999999999993,0.7122049221496736,0.6971037237837067,0.4004518497599548,0.5126536514822849,0.7004444444444444,4886,2123,573,1418,-3759400,False,False,False,XGB,SPW=2.0,0.6971037237837067
0.30999999999999994,0.6946258161727775,0.7117991154230275,0.4064061122538936,0.5127919911012235,0.708,4989,2020,608,1383,-4103200,False,False,False,XGB,SPW=2.0,0.6946258161727775
0.3199999999999999,0.6790557508789553,0.728349265230418,0.4152334152334152,0.5153421002477606,0.7174444444444444,5105,1904,639,1352,-4397800,False,False,False,XGB,SPW=2.0,0.6790557508789553
0.32999999999999985,0.6664992466097438,0.7423312883435583,0.42355569741461857,0.5179547228727557,0.7255555555555555,5203,1806,664,1327,-4633600,False,False,False,XGB,SPW=2.0,0.6664992466097438
0.33999999999999986,0.6589653440482169,0.7577400485090597,0.43588039867109635,0.5246950609878024,0.7358888888888889,5311,1698,679,1312,-4755400,False,False,False,XGB,SPW=2.0,0.6589653440482169
0.34999999999999987,0.6484178804620794,0.7714367242117278,0.4462495679225717,0.5286650286650287,0.7442222222222222,5407,1602,700,1291,-4948000,False,False,False,XGB,SPW=2.0,0.6484178804620794
0.3599999999999999,0.6398794575590155,0.78313596804109,0.4559770937723694,0.5324973876698015,0.7514444444444445,5489,1520,717,1274,-5102200,False,False,False,XGB,SPW=2.0,0.6398794575590155
0.3699999999999999,0.6298342541436464,0.7968326437437581,0.4682598954443615,0.537159991432855,0.7598888888888888,5585,1424,737,1254,-5283800,False,False,False,XGB,SPW=2.0,0.6298342541436464
